RF,Time,Latitude,Longitude,Altitude
28,11:40:00,22.902722,120.2732021,19.872
28,11:40:03,22.9027798,120.2731954,19.725
28,11:40:06,22.9028377,120.2731869,19.724
29,11:44:29,22.9028408,120.2731942,0.043
29,11:44:32,22.9028536,120.2731936,1.002
29,11:44:35,22.9029103,120.2731499,6.424
29,11:44:38,22.9029832,120.2730859,13.209
29,11:44:41,22.9030538,120.2730338,19.087
29,11:44:44,22.9030675,120.2729477,20.521
29,11:44:47,22.9030601,120.2728367,20.123
29,11:44:50,22.9030282,120.2727261,20.039
29,11:44:53,22.9029277,120.2726603,19.904
29,11:44:56,22.9028193,120.272631,19.956
29,11:44:59,22.9027157,120.2726727,20.054
29,11:45:02,22.9026154,120.272741,20.036
29,11:45:05,22.9025921,120.2728509,19.913
29,11:45:08,22.9025966,120.2729752,20.082
29,11:45:11,22.9026552,120.2730685,20.234
29,11:45:14,22.9027505,120.2731288,19.872
29,11:45:17,22.9028314,120.2731755,19.799
29,11:45:20,22.9028398,120.2731806,16.704
30,11:47:01,22.9028234,120.2731509,20.171
30,11:47:04,22.9028171,120.2730845,19.96
30,11:47:07,22.9028119,120.2730283,20.05
30,11:47:10,22.9028099,120.2729702,20.199
30,11:47:13,22.902804,120.272915,20.069
30,11:47:16,22.9028009,120.2728537,19.976
30,11:47:19,22.9027955,120.2727963,20.133
30,11:47:22,22.9027961,120.2727371,19.803
30,11:47:25,22.9027885,120.27268,20.073
30,11:47:28,22.9027845,120.2726249,20.138
30,11:47:31,22.9027767,120.272593,20.041
30,11:47:34,22.9027292,120.2726116,19.828
30,11:47:37,22.9026903,120.2726323,20.171
30,11:47:40,22.9026418,120.2726511,20.059
30,11:47:43,22.902596,120.2726717,20.158
30,11:47:46,22.9025502,120.272691,20.114
30,11:47:49,22.9025104,120.2727075,20.194
30,11:47:52,22.9024576,120.2727296,20.126
30,11:47:55,22.9024119,120.2727489,20.029
30,11:47:58,22.9023614,120.2727721,20.107
30,11:48:01,22.9023227,120.2727885,20.239
30,11:48:04,22.9022742,120.2728073,20.118
30,11:48:07,22.9022306,120.2728291,20.108
30,11:48:10,22.902214,120.2728714,20.031
